Event ID,Operation ID,User ID,Equipment Type,Airport,Operation Time,Op Type,Num Ops,Segment#,Latitude,Longitude,Altitude AFE (ft),Altitude MSL (ft),unit-x,unit-y,unit-z,Segment Length (ft),Ground Track Distance (ft),Ground Speed (kt),Delta Speed (kt),Trajectory Mode,Net Corrected Thrust Per Engine (lb),Duration ,Fuel Burn (lb),CO (lb),THC (lb),TOG (lb),VOC (lb),NMHC (lb),NOx (lb),nvPM Mass (lb),nvPM Number,PMSO (lb),PMFO (lb),CO2 (lb),H2O (lb),SOx (lb),PM 2.5 (lb),PM 10 (lb)
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,15,38.280538,-76.416287,481.8,519.8,-0.742088,-0.642037,0.192596,1019,9773,243,7,Terminal Climb,-99,00:00:02.496,12.57,1.74,0.03,0.04,0.04,0.04,0.45,N/A,N/A,0,0.01,39.65,15.55,0.01,0.01,0.01
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,16,38.278707,-76.418971,681.8,719.8,-0.733773,-0.634843,0.241975,5060.4,10792,250,15.4,Terminal Climb,-99,00:00:11.992,59.77,8.35,0.15,0.17,0.17,0.17,2.15,N/A,N/A,0,0.03,188.58,73.94,0.05,0.04,0.04
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,17,38.269613,-76.4323,1943.8,1981.8,-0.733773,-0.634843,0.241975,426.6,15852.4,265.4,1.3,Terminal Climb,-99,00:00:00.979,4.84,0.68,0.01,0.01,0.01,0.01,0.17,N/A,N/A,0,0,15.26,5.98,0,0,0
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,18,38.268847,-76.433423,2050.2,2088.2,-0.733773,-0.634843,0.241975,3735.6,16279,266.7,10.7,Terminal Climb,-99,00:00:08.386,41.13,5.85,0.11,0.12,0.12,0.12,1.49,N/A,N/A,0,0,129.78,50.88,0.03,0,0
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,19,38.262133,-76.443259,2981.8,3019.8,-0.733773,-0.634843,0.241975,2105.4,20014.6,277.3,6,Terminal Climb,-99,00:00:04.586,22.27,3.2,0.06,0.07,0.07,0.07,0.81,N/A,N/A,0,0,70.28,27.55,0.02,0,0
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,20,38.258349,-76.448803,3506.9,3544.9,-0.733773,-0.634843,0.241975,1752.1,22120,283.3,4.7,Terminal Climb,-99,00:00:03.745,18.07,2.61,0.05,0.05,0.05,0.05,0.65,0.2459,N/A,0,0,57.01,22.35,0.01,0,0
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,21,38.255199,-76.453415,3943.8,3981.8,-0.733773,-0.634843,0.241975,4442.9,23872.1,288,12,Terminal Climb,-99,00:00:09.227,44.06,6.44,0.12,0.13,0.13,0.13,1.6,0.5996,N/A,0,0,139.01,54.5,0.03,0,0
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,22,38.247212,-76.465109,5051.8,5089.8,-0.72525,-0.627469,0.283364,3018.9,28315,300,0,Terminal Climb,-99,00:00:06.217,29.32,4.35,0.08,0.09,0.09,0.09,1.07,0.399,N/A,0,0,92.51,36.27,0.02,0,0
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,23,38.241784,-76.473054,5943.8,5981.8,-0.72525,-0.627469,0.283364,6768.8,31333.9,300,0,Terminal Climb,-99,00:00:13.939,64.73,9.81,0.18,0.21,0.2,0.21,2.35,0.8808,N/A,0,0,204.22,80.07,0.05,0.01,0.01
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,24,38.229613,-76.490863,7943.8,7981.8,-0.72525,-0.627469,0.283364,6768.8,38102.6,300,0,Terminal Climb,-99,00:00:13.939,63.33,9.9,0.18,0.21,0.21,0.21,2.3,0.8618,N/A,0,0,199.82,78.34,0.05,0.01,0.01
