Code,Aircraft,Engine,Power,Units
M04403,F-16C,F100-PW-229,94.0,% NC
M04403,F-16C,F100-PW-229,74.0,% NC
M04403,F-16C,F100-PW-229,80.0,% NC
M04404,F-16C,F110-GE-100,104.0,% NC
M04404,F-16C,F110-GE-100,103.0,% NC
M04404,F-16C,F110-GE-100,74.0,% NC
M04404,F-16C,F110-GE-100,80.0,% NC
M04405,F-16C,F110-GE-129,100.0,% NC
M04405,F-16C,F110-GE-129,99.0,% NC
M04405,F-16C,F110-GE-129,69.0,% NC
M04405,F-16C,F110-GE-129,80.0,% NC
M04406,F-16,F100-PW-100,92.0,% RPM
M04406,F-16,F100-PW-100,92.0,% RPM
M04406,F-16,F100-PW-100,68.0,% RPM
M04406,F-16,F100-PW-100,80.0,% RPM
M04407,F-16,F100-PW-100,91.0,% N2
M04407,F-16,F100-PW-100,91.0,% N2
M04407,F-16,F100-PW-100,65.0,% N2
M04407,F-16,F100-PW-100,80.0,% N2
M04501,F-18A/C,F404-GE-400&402,95.1,% NC
M04501,F-18A/C,F404-GE-400&402,94.0,% NC
M04501,F-18A/C,F404-GE-400&402,63.0,% NC
M04501,F-18A/C,F404-GE-400&402,90.0,% NC
M04501,F-18A/C,F404-GE-400&402,85.0,% NC
M04501,F-18A/C,F404-GE-400&402,80.0,% NC
M04501,F-18A/C,F404-GE-400&402,95.0,% NC
M08501,F-22,F119-PW-100,150.0,% ETR
M08501,F-22,F119-PW-100,100.0,% ETR
M08501,F-22,F119-PW-100,10.0,% ETR
M08501,F-22,F119-PW-100,50.0,% ETR
M08601,X-35,JSF119-PW-611,150.0,% ETR
M08601,X-35,JSF119-PW-611,99.0,% ETR
M08601,X-35,JSF119-PW-611,10.0,% ETR
M08601,X-35,JSF119-PW-611,50.0,% ETR
M08701,T-6,PT6A-68,60.0,% N1
M08701,T-6,PT6A-68,90.0,% N1
M08701,T-6,PT6A-68,96.0,% N1
M08701,T-6,PT6A-68,97.0,% N1
M08701,T-6,PT6A-68,98.0,% N1
M08701,T-6,PT6A-68,98.1,% N1
M08801,T-38C,J-85R-GE-5,100.0,% RPM
M08801,T-38C,J-85R-GE-5,100.0,% RPM
M08801,T-38C,J-85R-GE-5,48.0,% RPM
M08801,T-38C,J-85R-GE-5,85.0,% RPM
M08901,F-35AA,F-135PP,150.0,% ETR
M08901,F-35AA,F-135PP,100.0,% ETR
M08901,F-35AA,F-135PP,75.0,% ETR
M08901,F-35AA,F-135PP,50.0,% ETR
M08901,F-35AA,F-135PP,25.0,% ETR
M04601,F-100D,J57-P-21A,100.0,% RPM
M04601,F-100D,J57-P-21A,97.0,% RPM
M04601,F-100D,J57-P-21A,53.0,% RPM
M04601,F-100D,J57-P-21A,70.0,% RPM
M04602,F-100,J57-P-21A,97.0,% RPM
M04602,F-100,J57-P-21A,97.0,% RPM
M04602,F-100,J57-P-21A,53.0,% RPM
M04602,F-100,J57-P-21A,70.0,% RPM
M04701,F-101B,J57-P-55,96.0,% NC
M04701,F-101B,J57-P-55,95.5,% NC
M04701,F-101B,J57-P-55,62.0,% NC
M04701,F-101B,J57-P-55,90.0,% NC
M04701,F-101B,J57-P-55,80.0,% NC
M04801,F-102,J57-P-23A,96.0,% NC
M04801,F-102,J57-P-23A,96.0,% NC
M04801,F-102,J57-P-23A,57.0,% NC
M04801,F-102,J57-P-23A,85.0,% NC
M04801,F-102,J57-P-23A,75.0,% NC
M04901,F-104D&G,J79-GE-11A/J79-GE-7,100.0,% RPM
M04901,F-104D&G,J79-GE-11A/J79-GE-7,100.0,% RPM
M04901,F-104D&G,J79-GE-11A/J79-GE-7,67.0,% RPM
M04901,F-104D&G,J79-GE-11A/J79-GE-7,85.0,% RPM
M05001,F-105D,J75-P-19W,102.0,% NC
M05001,F-105D,J75-P-19W,102.0,% NC
M05001,F-105D,J75-P-19W,69.0,% NC
M05001,F-105D,J75-P-19W,90.0,% NC
M05001,F-105D,J75-P-19W,80.0,% NC
M05002,F-105,J75-P-19,103.0,% RPM
M05002,F-105,J75-P-19,103.0,% RPM
M05002,F-105,J75-P-19,90.0,% RPM
M05101,F-106,J75-P-17,102.0,% RPM
M05101,F-106,J75-P-17,102.0,% RPM
M05101,F-106,J75-P-17,59.0,% RPM
M05101,F-106,J75-P-17,95.0,% RPM
M05101,F-106,J75-P-17,85.0,% RPM
M05102,F-106,J75-P-17,100.0,% RPM
M05102,F-106,J75-P-17,100.0,% RPM
M05102,F-106,J75-P-17,95.0,% RPM
M05102,F-106,J75-P-17,85.0,% RPM
M05103,F-106,J75-P-17,100.0,% RPM
M05103,F-106,J75-P-17,100.0,% RPM
M05103,F-106,J75-P-17,59.0,% RPM
M05103,F-106,J75-P-17,95.0,% RPM
M05103,F-106,J75-P-17,85.0,% RPM
M05201,F-111A&E,TF30-P-3,95.0,% NC
M05201,F-111A&E,TF30-P-3,95.0,% NC
M05201,F-111A&E,TF30-P-3,65.0,% NC
M05201,F-111A&E,TF30-P-3,85.0,% NC
M05201,F-111A&E,TF30-P-3,80.0,% NC
M05202,F-111D,TF30-P-9,95.0,% NC
M05202,F-111D,TF30-P-9,95.0,% NC
M05202,F-111D,TF30-P-9,65.0,% NC
M05202,F-111D,TF30-P-9,85.0,% NC
M05202,F-111D,TF30-P-9,80.0,% NC
M05203,F-111F,TF30-P-100,95.0,% NC
M05203,F-111F,TF30-P-100,95.0,% NC
M05203,F-111F,TF30-P-100,65.0,% NC
M05203,F-111F,TF30-P-100,85.0,% NC
M05203,F-111F,TF30-P-100,80.0,% NC
M05204,FB-111A,TF30-P-7,95.0,% NC
M05204,FB-111A,TF30-P-7,96.0,% NC
M05204,FB-111A,TF30-P-7,66.0,% NC
M05204,FB-111A,TF30-P-7,80.0,% NC
M05205,F-111F,TF30-P-100,96.0,% RPM
M05205,F-111F,TF30-P-100,96.0,% RPM
M05205,F-111F,TF30-P-100,95.0,% RPM
M05205,F-111F,TF30-P-100,85.0,% RPM
M05205,F-111F,TF30-P-100,80.0,% RPM
M05206,F-111A,TF30-P-3,96.1,% N2
M05206,F-111A,TF30-P-3,96.4,% N2
M05206,F-111A,TF30-P-3,96.5,% N2
M05206,F-111A,TF30-P-3,66.9,% N2
M05206,F-111A,TF30-P-3,75.0,% N2
M05301,F-117A,GE F404-F1D1,65.0,% RPM
M05301,F-117A,GE F404-F1D1,90.0,% RPM
M05301,F-117A,GE F404-F1D1,80.0,% RPM
M05301,F-117A,GE F404-F1D1,70.0,% RPM
M05301,F-117A,GE F404-F1D1,100.0,% RPM
M05401,KC-10A,CF6-50C2,103.0,% N1
M05401,KC-10A,CF6-50C2,24.0,% N1
M05401,KC-10A,CF6-50C2,95.0,% N1
M05401,KC-10A,CF6-50C2,70.0,% N1
M05401,KC-10A,CF6-50C2,111.0,% N1
M05401,KC-10A,CF6-50C2,45.0,% N1
M05501,KC-97L,R4360-59B & J47-GE,29.0,IN HG
M05501,KC-97L,R4360-59B & J47-GE,17.0,IN HG
M05501,KC-97L,R4360-59B & J47-GE,E 18.0,IN HG
M05501,KC-97L,R4360-59B & J47-GE,58.0,IN HG
M05501,KC-97L,R4360-59B & J47-GE,58.0,IN HG
M05601,OV-10A,T76-G-416/417,101.0,% RPM
M05601,OV-10A,T76-G-416/417,70.0,% RPM
M05601,OV-10A,T76-G-416/417,89.0,% RPM
M05701,P-3A,T56-A-14,1850.0,ESHP
M05701,P-3A,T56-A-14,170.0,ESHP
M05701,P-3A,T56-A-14,3800.0,ESHP
M05702,P-3C,T56-A-14,1850.0,ESHP
M05702,P-3C,T56-A-14,170.0,ESHP
M05702,P-3C,T56-A-14,3800.0,ESHP
M05801,S-3A&B,TF34-GE-400A/B,64.7,% NC
M05801,S-3A&B,TF34-GE-400A/B,73.0,% NC
M05801,S-3A&B,TF34-GE-400A/B,93.0,% NC
M05801,S-3A&B,TF34-GE-400A/B,96.0,% NC
M05901,SR-71,JT11D-20B(J58),80.0,% NC
M05901,SR-71,JT11D-20B(J58),70.0,% NC
M05901,SR-71,JT11D-20B(J58),20.0,% NC
M05901,SR-71,JT11D-20B(J58),50.0,% NC
M05901,SR-71,JT11D-20B(J58),75.0,% NC
M05901,SR-71,JT11D-20B(J58),30.0,% NC
M06001,T-1,JT15D-5,99.0,% NF
M06001,T-1,JT15D-5,31.0,% NF
M06001,T-1,JT15D-5,90.0,% NF
M06001,T-1,JT15D-5,70.0,% NF
M06101,T-2C,J85-GE-4A,50.0,% RPM
M06101,T-2C,J85-GE-4A,70.0,% RPM
M06101,T-2C,J85-GE-4A,100.0,% RPM
M06201,T-3 (FIREFLY),Lycoming Piston,60.0,% RPM
M06201,T-3 (FIREFLY),Lycoming Piston,94.0,% RPM
M06201,T-3 (FIREFLY),Lycoming Piston,96.0,% RPM
M06201,T-3 (FIREFLY),Lycoming Piston,97.0,% RPM
M06201,T-3 (FIREFLY),Lycoming Piston,98.0,% RPM
M06201,T-3 (FIREFLY),Lycoming Piston,98.1,% RPM
M06401,T-29,R-2800-103W,2050.0,RPM
M06401,T-29,R-2800-103W,800.0,RPM
M06401,T-29,R-2800-103W,1000.0,RPM
M06401,T-29,R-2800-103W,2800.0,RPM
M06501,T-33A,J33-A-35,35.0,% RPM
M06501,T-33A,J33-A-35,50.0,% RPM
M06501,T-33A,J33-A-35,100.0,% RPM
M06601,T-34,PT6A-25,60.0,% RPM
M06601,T-34,PT6A-25,94.0,% RPM
M06601,T-34,PT6A-25,96.0,% RPM
M06601,T-34,PT6A-25,97.0,% RPM
M06601,T-34,PT6A-25,98.0,% RPM
M06601,T-34,PT6A-25,98.1,% RPM
M06701,T-37B,J69-T-25,92.0,% RPM
M06701,T-37B,J69-T-25,37.0,% RPM
M06701,T-37B,J69-T-25,99.5,% RPM
M06801,T-38A,J85-GE-5A,100.0,% RPM
M06801,T-38A,J85-GE-5A,100.0,% RPM
M06801,T-38A,J85-GE-5A,94.0,% RPM
M06801,T-38A,J85-GE-5A,48.0,% RPM
M06801,T-38A,J85-GE-5A,75.0,% RPM
M06801,T-38A,J85-GE-5A,70.0,% RPM
M06802,T-38,J85-GE-5,100.0,% RPM
M06802,T-38,J85-GE-5,100.0,% RPM
M06802,T-38,J85-GE-5,80.0,% RPM
M06803,T-38,J85-GE-5A,100.0,% RPM
M06803,T-38,J85-GE-5A,99.5,% RPM
M06803,T-38,J85-GE-5A,94.0,% RPM
M06803,T-38,J85-GE-5A,48.0,% RPM
M06803,T-38,J85-GE-5A,75.0,% RPM
M06901,T-39A,J60-P-3A,100.0,% RPM
M06901,T-39A,J60-P-3A,41.0,% RPM
M06901,T-39A,J60-P-3A,85.0,% RPM
M06901,T-39A,J60-P-3A,75.0,% RPM
M07001,T-41,O-300-C,60.0,% RPM
M07001,T-41,O-300-C,94.0,% RPM
M07001,T-41,O-300-C,96.0,% RPM
M07001,T-41,O-300-C,97.0,% RPM
M07001,T-41,O-300-C,98.0,% RPM
M07001,T-41,O-300-C,98.1,% RPM
M07101,T-42,IO-470-L,60.0,% RPM
M07101,T-42,IO-470-L,94.0,% RPM
M07101,T-42,IO-470-L,96.0,% RPM
M07101,T-42,IO-470-L,97.0,% RPM
M07101,T-42,IO-470-L,98.0,% RPM
M07101,T-42,IO-470-L,98.1,% RPM
M07201,T-43A,JT8D-9A,1.0,EPR
M07201,T-43A,JT8D-9A,1.8,EPR
M07201,T-43A,JT8D-9A,1.7,EPR
M07201,T-43A,JT8D-9A,1.5,EPR
M07201,T-43A,JT8D-9A,2.0,EPR
M07301,T-44,PT6A-34B,60.0,% RPM
M07301,T-44,PT6A-34B,94.0,% RPM
M07301,T-44,PT6A-34B,96.0,% RPM
M07301,T-44,PT6A-34B,97.0,% RPM
M07301,T-44,PT6A-34B,98.0,% RPM
M07301,T-44,PT6A-34B,98.1,% RPM
M07401,T-45,F405-RR-401,100.0,% RPM
M07401,T-45,F405-RR-401,55.0,% RPM
M07401,T-45,F405-RR-401,90.0,% RPM
