aircraft,aircraft_code,engine,power_code,description,power_1,unit_1,power_2,unit_2,power_3,unit_3,interpolation,operation_type
C-20,M02201,SPEYMK511-8,RM0220109V,POWER RUNUP,2000.00,LBS,"","","","",VARIABLE,STATIC
C-21A,M02301,TFE-731-2-2B,RM0230104V,MIL PWR,96.00,% NC,818.00,C EGT,1719.00,LBS/HR,VARIABLE,STATIC
C-21A,M02301,TFE-731-2-2B,RM0230113V,IDLE,60.00,% NC,560.00,C EGT,520.00,LBS/HR,VARIABLE,STATIC
C-21A,M02301,TFE-731-2-2B,RM0230117V,90 % RPM ENG RUNUP,90.00,% NC,750.00,C EGT,1359.00,LBS/HR,VARIABLE,STATIC
C-21A,M02301,TFE-731-2-2B,RM0230119V,80 % RPM ENG RUNUP,80.00,% NC,683.00,C EGT,984.00,LBS/HR,VARIABLE,STATIC
C-21A,M02301,TFE-731-2-2B,RM0230121V,70 % RPM ENG RUNUP,70.00,% NC,623.00,C EGT,736.00,LBS/HR,VARIABLE,STATIC
C-22,M02401,JT8D-7B,RM0240113V,IDLE,1.05,EPR,375.00,C EGT,1000.00,LBS/HR,VARIABLE,STATIC
C-22,M02401,JT8D-7B,RM0240130V,TAKEOFF PWR,2.00,EPR,510.00,C EGT,8000.00,LBS/HR,VARIABLE,STATIC
C-22,M02401,JT8D-7B,RM0240132V,1.7 EPR,1.70,EPR,460.00,C EGT,5800.00,LBS/HR,VARIABLE,STATIC
C-22,M02401,JT8D-7B,RM0240133V,1.8 EPR,1.80,EPR,480.00,C EGT,6600.00,LBS/HR,VARIABLE,STATIC
C-23,M02501,PT6A-65AR,RM0250113V,IDLE,60.00,% RPM,"","","","",VARIABLE,STATIC
C-23,M02501,PT6A-65AR,RM0250170V,70 % TORQUE,94.00,% RPM,"","","","",VARIABLE,STATIC
C-23,M02501,PT6A-65AR,RM0250171V,80 % TORQUE,96.00,% RPM,"","","","",VARIABLE,STATIC
C-23,M02501,PT6A-65AR,RM0250172V,90 % TORQUE,97.00,% RPM,"","","","",VARIABLE,STATIC
C-23,M02501,PT6A-65AR,RM0250173V,95 % TORQUE,98.00,% RPM,"","","","",VARIABLE,STATIC
C-23,M02501,PT6A-65AR,RM0250174V,100 % TORQUE,98.10,% RPM,"","","","",VARIABLE,STATIC
C-118,M02601,R-2800-52W,RM0260108V,MAGNETO CHECK,2050.00,RPM,27.50,IN HG,"","",VARIABLE,STATIC
C-118,M02601,R-2800-52W,RM0260113V,IDLE,800.00,RPM,13.00,IN HG,"","",VARIABLE,STATIC
C-118,M02601,R-2800-52W,RM0260115V,TAXI,1000.00,RPM,24.00,IN HG,"","",VARIABLE,STATIC
C-118,M02601,R-2800-52W,RM0260130V,TAKEOFF PWR,2800.00,RPM,62.00,IN HG,"","",VARIABLE,STATIC
C-119L,M02701,R3350-89B,RM0270108V,MAGNETO CHECK,2100.00,RPM,28.50,IN HG,"","",VARIABLE,STATIC
C-119L,M02701,R3350-89B,RM0270113V,IDLE,750.00,RPM,25.00,IN HG,"","",VARIABLE,STATIC
C-119L,M02701,R3350-89B,RM0270115V,TAXI,1000.00,RPM,24.50,IN HG,"","",VARIABLE,STATIC
C-119L,M02701,R3350-89B,RM0270131V,MAX PWR,2900.00,RPM,59.00,IN HG,"","",VARIABLE,STATIC
C-119L,M02701,R3350-89B,RM0270136V,PROP SPEED CHECK,1800.00,RPM,26.00,IN HG,"","",VARIABLE,STATIC
C-121,M02801,R3350-93A,RM0280108V,MAGNETO CHECK,2050.00,RPM,28.80,IN HG,"","",VARIABLE,STATIC
C-121,M02801,R3350-93A,RM0280113V,IDLE,700.00,RPM,26.30,IN HG,"","",VARIABLE,STATIC
C-121,M02801,R3350-93A,RM0280115V,TAXI,1200.00,RPM,24.00,IN HG,"","",VARIABLE,STATIC
C-121,M02801,R3350-93A,RM0280131V,MAX PWR,2900.00,RPM,58.00,IN HG,"","",VARIABLE,STATIC
C-121,M02801,R3350-93A,RM0280136V,PROP SPEED CHECK,1700.00,RPM,25.20,IN HG,"","",VARIABLE,STATIC
C-130A&D,M02901,T56-A-9,RM0290109V,POWER RUNUP,775.00,C TIT,9600.00,IN-LBS,1400.00,LBS/HR,VARIABLE,STATIC
